economy;economycode;regionwb;pop_adult;wpid_random;wgt;female;age;educ;inc_q;emp_in;fin2;fin3;fin4;fin5;fin6;fin7;fin8;fin9;fin10;fin11a;fin11b;fin11c;fin11d;fin11e;fin11f;fin11g;fin11h;fin14a;fin14b;fin14c;fin15;fin16;fin17a;fin17b;fin19;fin20;fin21;fin22a;fin22b;fin22c;fin24;fin25;fin26;fin27a;fin27b;fin27c1;fin27c2;fin28;fin29a;fin29b;fin29c1;fin29c2;fin30;fin31a;fin31b;fin31c;fin32;fin33;fin34a;fin34b;fin34c1;fin34c2;fin35;fin36;fin37;fin38;fin39a;fin39b;fin39c1;fin39c2;fin40;fin41;fin42;fin43a;fin43b;fin43c1;fin43c2;fin44;fin45;fin46;fin47a;fin47b;fin47c1;fin47c2;fin47c3;fin47c4;fin47c5;mobileowner;fin48;account_fin;account_mob;account;saved;borrowed;receive_wages;receive_transfers;receive_pension;receive_agriculture;pay_utilities;remittances;pay_onlne;pay_onlne_mobintbuy;pay_cash;pay_cash_mobintbuy
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;201980255;0,980191097;2;24;2;4;1;2;;;;;2;;;;2;2;2;2;2;1;2;2;2;2;;2;2;2;2;2;2;2;2;1;;1;3;1;2;1;;;2;;;;;1;2;1;;1;2;2;2;1;2;;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;0;1;1;0;1;2;4;4;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;114189141;0,664497125;2;28;1;3;1;2;;;;;2;;;;2;2;2;2;2;1;2;1;2;2;;2;2;2;2;2;2;2;2;1;;2;;2;;;;;1;2;1;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;1;2;1;;;;;;1;1;0;1;1;1;1;4;4;4;4;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;184738942;2,260139349;2;28;3;4;1;1;1;2;1;1;2;;1;1;;;;;;;;;1;2;;1;2;1;1;2;1;1;2;1;1;1;4;1;1;1;;;1;2;1;;;1;1;1;;2;;;;;;;;2;2;;;;;;;1;2;2;1;2;;;;;;;;;;;1;1;1;1;1;1;1;4;4;4;2;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;163834393;1,668921223;1;22;1;2;1;2;;;;;2;;;;2;2;1;2;2;1;2;2;2;2;;2;2;2;2;2;1;2;2;1;;1;3;2;;;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;2;0;0;0;0;1;4;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;162870876;0,591846769;1;39;1;3;1;1;1;1;1;1;2;;1;1;;;;;;;;;1;2;;1;2;1;2;2;2;2;2;2;;1;3;1;2;1;;;1;1;1;;;1;2;1;;1;1;1;2;;;1;1;1;1;1;2;;;1;1;2;;;;;;;;;;;;;;;1;1;1;1;1;1;0;1;1;1;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;118363816;1,550708151;2;20;1;4;1;2;;;;;2;;;;1;2;1;2;2;1;2;2;2;2;;2;2;2;2;2;2;2;2;2;;2;;2;;;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;2;2;0;0;0;0;0;4;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;112564581;0,941874773;1;20;2;3;0;2;;;;;2;;;;2;2;2;2;1;1;2;2;2;2;;2;2;2;2;2;2;2;2;2;;2;;1;1;1;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;1;0;1;1;1;0;4;4;4;4;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;132272591;0,674077927;1;25;2;4;1;1;1;2;1;1;2;;2;1;;;;;;;;;1;1;1;1;1;1;2;2;1;1;2;1;;1;1;1;1;1;;;1;1;1;;;1;1;1;;1;2;1;1;;;2;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;4;4;4;1;1;1;1;0;0
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;155720601;0,826164223;1;44;2;1;1;2;;;;;2;;;;2;2;2;1;2;1;2;2;2;2;;2;2;2;2;2;2;2;2;2;;2;;1;2;1;;;1;2;1;;;1;1;1;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;2;1;2;1;1;1;1;1;0;0;4;4;4;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;115935791;0,681539755;1;20;2;3;1;2;;;;;2;;;;1;1;1;1;1;1;1;1;2;2;;1;2;2;2;2;2;1;2;1;;1;2;1;2;1;;;1;2;1;;;1;2;1;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;1;0;1;1;1;1;4;4;4;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;139777437;1,309066172;2;24;2;2;0;2;;;;;2;;;;2;2;2;2;2;2;1;2;2;2;;2;2;2;2;2;2;2;2;2;;1;2;2;;;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;1;0;0;0;0;0;4;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;147577217;0,703384122;2;24;1;4;1;2;;;;;2;;;;2;2;2;2;2;1;2;1;2;2;;2;2;2;1;2;2;2;2;2;1;1;1;2;;;;;2;;;;;2;;;;1;2;2;1;;;2;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;0;1;1;1;1;1;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;209008161;1,553340252;2;25;3;5;1;1;1;1;2;1;2;;1;1;;;;;;;;;2;2;;1;2;2;1;2;2;2;2;2;2;1;1;1;2;1;;;1;2;1;;;2;;;;1;2;1;2;;;2;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;1;1;1;1;0;1;4;4;4;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;151748242;0,996745687;2;26;2;2;1;1;1;2;1;2;2;;1;1;;;;;;;;;2;2;;1;2;1;2;2;2;2;1;2;;2;;1;2;1;;;1;2;1;;;1;2;1;;1;2;2;2;1;2;;;2;2;;;;;;;1;2;2;1;2;;;;;;;;;;;1;1;1;1;1;1;1;2;4;4;2;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;174725915;0,395890672;1;18;2;2;1;2;;;;;2;;;;2;2;1;2;2;2;2;2;2;2;;2;1;2;2;2;2;2;2;2;;2;;2;;;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;1;0;1;1;1;1;4;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;180647540;0,378308694;2;41;1;3;1;1;1;2;1;1;2;;1;1;;;;;;;;;2;2;;2;1;2;2;2;2;2;2;2;;2;;2;;;;;1;2;1;;;2;;;;1;1;1;2;;;1;2;2;2;;;;;;;1;2;2;1;2;;;;;;;;;;;1;1;1;1;1;1;1;1;4;4;2;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;112446884;0,822629023;1;27;3;5;1;1;1;2;1;1;2;;1;1;;;;;;;;;1;2;;2;2;1;1;2;2;1;2;2;2;1;3;1;2;1;;;1;1;1;;;1;2;1;;1;2;2;1;;;2;;2;2;;;;;;;1;2;1;;;2;;;;;;;;;;1;1;1;1;1;1;1;1;4;4;1;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;127356345;2,935385593;2;23;2;3;1;1;1;2;2;1;2;;1;2;;;;;;;;;2;2;;1;2;2;2;2;2;2;2;2;;1;3;1;1;1;;;2;;;;;1;1;1;;1;2;1;2;;;2;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;1;0;1;1;0;1;4;4;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;142570135;0,329489464;1;38;2;5;1;1;1;2;1;1;2;;1;1;;;;;;;;;2;2;;2;2;1;2;2;2;2;2;2;;1;4;2;;;;;2;;;;;2;;;;1;1;1;2;;;1;1;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;1;0;1;1;0;1;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;208172416;0,764215384;2;21;1;3;1;2;;;;;2;;;;1;2;2;1;2;2;2;1;2;2;;1;1;2;2;1;1;2;2;2;;1;5;2;;;;;2;;;;;2;;;;1;2;2;2;1;2;;;2;2;;;;;;;2;;;;;;;;;;;;;;;2;2;0;0;0;1;1;2;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;144511634;0,90584939;1;20;2;5;1;2;;;2;2;2;;2;2;;;;;;;;;2;1;2;2;2;2;2;2;1;2;1;1;;2;;2;;;;;1;2;1;;;1;2;2;1;2;;;;;;;;1;2;2;1;;;;;2;;;;;;;2;;;;;;;;1;1;1;1;1;1;1;4;1;4;4;2;1;0;0;1;1
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;190942496;0,646940534;2;21;2;4;1;2;;;;;2;;;;2;2;2;2;2;1;2;2;2;2;;2;2;2;2;2;1;2;2;1;;2;;2;;;;;1;2;1;;;2;;;;2;;;;;;;;2;2;;;;;;;1;2;2;1;2;;;;;;;;;;;1;1;0;1;1;0;1;4;4;4;2;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;128013476;0,703384122;2;23;2;4;0;2;;;;;2;;;;2;2;2;2;2;1;2;2;2;2;;2;2;2;2;2;2;2;2;2;;1;2;1;2;1;;;1;2;1;;;2;;;;2;;;;;;;;2;2;;;;;;;1;2;2;1;2;;;;;;;;;;;1;1;0;0;0;0;0;4;4;4;2;4;2;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;149711523;1,055076183;2;19;2;2;0;2;;;;;2;;;;2;2;2;2;2;1;2;2;2;2;;2;2;2;2;2;2;2;2;2;;2;;2;;;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;1;2;1;;;2;;;;;;;;;;1;2;0;1;1;1;0;4;4;4;1;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;194974688;0,334223957;2;40;2;3;1;1;1;2;2;1;2;;1;1;;;;;;;;;2;2;;2;1;2;1;2;2;2;2;1;1;2;;2;;;;;2;;;;;1;2;2;1;1;2;1;2;;;2;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;4;4;4;2;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;184951398;0,329489464;2;25;2;1;1;2;;;;;2;;;;2;2;1;1;2;1;2;2;2;2;;1;2;2;2;2;1;2;2;1;;2;;2;;;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;2;0;1;1;1;1;4;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;207292460;1,296231787;1;47;3;5;1;1;1;2;1;1;1;1;1;1;;;;;;;;;1;2;;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;;;1;2;1;;;1;1;1;;1;1;1;1;;;1;2;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;4;4;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;194810955;0,337038964;1;27;2;5;1;2;;;;;2;;;;2;2;1;2;2;1;2;2;2;2;;1;2;2;2;2;1;2;2;2;;1;5;1;1;1;;;1;1;1;;;1;2;1;;2;;;;;;;;2;2;;;;;;;1;2;1;;;2;;;;;;;;;;1;1;0;1;1;1;1;4;4;4;1;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;126252166;1,406768244;2;18;2;2;1;2;;;;;2;;;;2;2;1;2;2;1;2;2;2;2;;1;2;2;1;2;2;1;2;1;2;2;;1;2;1;;;1;2;1;;;2;;;;2;;;;;;;;1;2;1;2;;;;;2;;;;;;;2;;;;;2;2;1;1;2;1;1;1;1;1;4;1;4;4;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;185251765;0,374003628;1;25;2;3;0;1;1;2;1;1;2;;2;1;;;;;;;;;1;2;;1;2;1;2;2;2;2;2;2;;2;;2;;;;;2;;;;;1;2;2;2;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;1;1;1;1;1;0;4;4;4;4;3;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;131756274;1,306921463;2;18;2;1;1;2;;;;;2;;;;1;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;;2;;1;2;1;;;2;;;;;2;;;;1;2;2;1;;;1;1;2;2;;;;;;;1;2;1;;;2;;;;;;;;;;1;2;0;1;1;1;0;1;4;4;1;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;196387473;0,36278822;1;30;1;1;1;2;;;;;2;;;;2;1;2;2;2;1;2;1;2;2;;2;1;2;2;2;1;1;2;1;;1;2;2;;;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;1;2;2;1;2;;;;;;;;;;;2;1;0;1;1;1;1;4;4;4;2;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;143707490;1,99025386;2;58;1;1;0;2;;;;;2;;;;2;2;2;2;2;2;2;1;2;2;;2;2;2;1;2;2;2;2;1;2;1;2;1;2;1;;;1;2;1;;;2;;;;2;;;;;;;;2;2;;;;;;;1;2;1;;;2;;;;;;;;;;1;1;0;1;1;1;1;4;4;4;1;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;199456710;0,374003628;1;33;2;5;1;1;1;2;1;1;2;;1;1;;;;;;;;;1;2;;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;;;1;1;1;;;1;1;1;;2;;;;;;;;2;2;;;;;;;1;1;1;;;2;;;;;;;;;;1;1;1;1;1;1;1;4;4;4;1;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;198766762;0,577312218;2;22;2;5;1;2;;;;;2;;;;2;1;1;1;2;1;1;2;2;2;;2;2;2;2;2;2;2;2;2;;1;2;2;;;;;2;;;;;2;;;;1;2;2;2;1;2;;;2;2;;;;;;;2;;;;;;;;;;;;;;;2;1;0;1;1;0;0;2;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;115164851;1,711537967;1;26;3;5;1;1;1;1;1;1;2;;2;1;;;;;;;;;2;2;;1;2;1;2;2;2;2;2;1;;1;3;1;1;1;;;1;2;1;;;1;1;1;;2;;;;;;;;2;2;;;;;;;2;;;;;;;1;2;1;;;;;;1;1;1;1;1;1;1;4;4;4;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;150471738;0,407210894;2;36;2;4;1;2;;;;;2;;;;2;2;2;2;2;2;2;1;2;2;;2;2;2;2;2;2;2;2;2;;2;;1;2;1;;;1;2;1;;;1;2;1;;2;;;;;;;;2;2;;;;;;;2;;;;;;;1;2;1;;;;;;1;1;0;1;1;1;0;4;4;4;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;111745203;0,992178379;1;64;2;2;1;2;;;;;2;;;;2;1;2;1;2;2;2;1;2;2;;2;2;2;2;2;2;2;2;2;;1;3;2;;;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;1;2;2;1;2;;;;;;;;;;;1;1;0;1;1;0;0;4;4;4;2;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;184455248;1,236693693;2;31;2;3;1;1;1;2;2;2;2;;2;2;;;;;;;;;2;2;;2;1;2;2;2;2;2;2;2;;1;3;2;;;;;2;;;;;1;2;2;1;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;1;1;0;1;1;0;4;4;4;4;2;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;173944575;0,384018928;1;23;2;5;1;2;;;;;2;;;;1;2;2;2;2;1;2;2;2;2;;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;;;1;2;1;;;2;;;;2;;;;;;;;2;2;;;;;;;1;1;2;;;1;1;;;;;;2;2;1;1;1;1;1;1;1;1;4;4;4;1;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;141711595;0,329489464;2;28;2;4;1;2;;;;;2;;;;2;1;2;1;2;2;1;2;2;2;;1;2;2;1;2;2;2;2;2;2;1;6;2;;;;;2;;;;;1;2;2;1;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;2;0;0;0;1;0;4;4;4;4;2;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;153635889;0,511154817;1;20;2;2;1;1;1;1;2;1;2;;1;2;;;;;;;;;2;2;;1;2;1;2;2;2;2;2;2;;1;1;1;2;1;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;1;2;2;1;2;;;;1;1;1;1;1;1;0;4;4;4;4;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;167756009;1,202831299;2;60;1;2;1;2;;;;;2;;;;1;1;2;2;2;1;2;2;2;2;;1;2;2;1;2;2;2;2;1;1;2;;2;;;;;2;;;;;2;;;;2;;;;;;;;1;2;2;2;2;2;;;1;2;2;1;2;;;;;;;;;;;2;1;0;0;0;1;1;4;3;4;2;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;142065419;0,329489464;1;42;2;4;1;2;;;;;2;;;;2;1;2;2;2;1;2;1;2;2;;2;2;2;2;2;2;2;2;2;;2;;1;2;1;;;1;2;1;;;2;;;;2;;;;;;;;2;2;;;;;;;1;2;2;1;2;;;;;;;;;;;1;1;0;1;1;0;0;4;4;4;2;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;203784351;0,329489464;1;35;1;4;1;2;;;;;2;;;;2;2;2;2;2;1;2;2;2;2;;2;2;2;2;2;2;2;2;1;;2;;2;;;;;1;2;1;;;2;;;;2;;;;;;;;2;2;;;;;;;1;2;1;;;2;;;;;;;;;;1;1;0;1;1;0;1;4;4;4;1;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;180666089;0,725576439;1;29;1;2;1;2;;;;;2;;;;2;2;2;2;2;1;2;1;2;2;;1;2;2;1;2;2;2;2;1;2;2;;1;2;1;;;2;;;;;2;;;;2;;;;;;;;2;2;;;;;;;2;;;;;;;1;2;2;1;2;;;;1;1;0;1;1;1;1;4;4;4;4;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;195869931;0,362564437;2;24;2;3;1;2;;;2;2;2;;2;2;;;;;;;;;2;2;;2;2;2;1;2;2;2;2;1;1;2;;2;;;;;2;;;;;2;;;;1;2;2;1;;;2;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;4;4;4;4;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;142522442;0,664497125;2;28;2;3;0;2;;;;;2;;;;2;1;2;2;2;1;2;2;2;2;;2;2;2;1;2;1;1;1;1;1;2;;1;2;1;;;1;2;1;;;1;2;1;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;1;0;1;1;1;1;4;4;4;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;111930961;0,337038964;1;34;1;2;1;2;;;;;2;;;;2;1;2;2;2;1;2;2;2;2;;2;2;2;2;2;1;2;2;1;;2;;2;;;;;1;2;1;;;2;;;;1;2;2;2;1;2;;;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;0;1;1;0;1;2;4;4;4;4;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;124246762;0,329489464;2;33;2;4;1;1;1;2;1;2;2;;1;1;;;;;;;;;1;2;;2;2;2;1;1;2;2;1;1;1;2;;2;;;;;2;;;;;1;1;1;;1;2;1;2;;;1;1;2;2;;;;;;;2;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;4;4;4;1;5;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;204173110;1,011116891;1;28;1;4;1;1;1;2;1;1;1;1;1;1;;;;;;;;;1;1;2;1;2;1;2;2;1;2;1;1;;1;1;1;1;1;;;1;2;1;;;1;1;1;;1;2;2;1;;;2;;2;2;;;;;;;1;1;2;;;1;1;;;;;;;;;1;1;1;1;1;1;1;1;4;4;1;1;1;0;0;1;1
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;119443663;0,545395179;2;32;1;4;1;2;;;;;2;;;;2;2;2;2;2;2;2;2;2;2;;1;2;2;2;2;2;2;2;2;;1;3;1;2;1;;;2;;;;;1;2;1;;2;;;;;;;;2;2;;;;;;;2;;;;;;;2;;;;;;;;1;1;0;1;1;1;0;4;4;4;4;1;1;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;132253637;1,332536409;1;65;1;3;1;2;;;2;2;1;2;1;2;;;;;;;;;2;2;;1;2;1;2;2;2;2;2;2;;1;5;1;2;1;;;1;2;1;;;2;;;;2;;;;;;;;2;2;;;;;;;1;1;2;;;1;2;;;;;;;;;1;1;1;0;1;1;0;4;4;4;1;4;2;0;;0;
Kenya;KEN;Sub-Saharan Africa (excluding high income);28647916;124111343;1,09497412;1;33;2;5;1;1;1;2;2;1;2;;2;1;;;;;;;;;2;2;;1;2;1;2;2;2;2;2;1;;1;1;1;2;1;;;1;2;1;;;1;2;1;;1;1;1;2;;;1;1;1;1;1;2;;;1;1;1;1;2;;;1;1;;;;;;;;;1;1;1;0;1;1;1;1;1;1;1;1;2;0;;0;
